FID_Direct,No_,NOMBRE_DE,C_T___OFI,FID_Superf,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,Area,x,y
"49","50",Colegio Holandes,13PJN0193U,"0","13069","13","069",Tizayuca,7674.7585714,-98.981,19.843
"140","141",JEAN-PAUL SARTRE,13PES0194C,"0","13069","13","069",Tizayuca,7674.7585714,-98.979,19.843
"27","28",Estefanía Castañeda,13DJN0162W,"0","13069","13","069",Tizayuca,7674.7585714,-98.983,19.843
"48","49",Salvador Novo,13PJN0173G,"0","13069","13","069",Tizayuca,7674.7585714,-98.987,19.843
"123","124",MAESTRO JUSTO SIERRA,13DES0015W,"0","13069","13","069",Tizayuca,7674.7585714,-98.98,19.844
"155","156",COLEGIO FLORENCIA NIGHTINGALE,,"0","13069","13","069",Tizayuca,7674.7585714,-98.983,19.844
"58","59",LA,13DPR1099H,"0","13069","13","069",Tizayuca,7674.7585714,-98.99,19.844
"59","60",REYNALDO GOME,13DPR1806U,"0","13069","13","069",Tizayuca,7674.7585714,-98.981,19.844
"101","102",INSTITUTO CANADIENSE,13PPR0229I,"0","13069","13","069",Tizayuca,7674.7585714,-98.983,19.845
"47","48",Instituto Canadiense,13PJN0155R,"0","13069","13","069",Tizayuca,7674.7585714,-98.981,19.845
"104","105",COLEGIO FIREN,13PPR0316D,"0","13069","13","069",Tizayuca,7674.7585714,-98.98,19.846
"135","136",COLEGIO FIREN,13PES0163J,"0","13069","13","069",Tizayuca,7674.7585714,-98.978,19.846
"150","151",COLEGIO FIREN,,"0","13069","13","069",Tizayuca,7674.7585714,-98.978,19.846
"53","54",IGNACIO,13DPR0422I,"0","13069","13","069",Tizayuca,7674.7585714,-98.995,19.849
"152","153",INECUH,,"0","13069","13","069",Tizayuca,7674.7585714,-98.976,19.849
"160","161",INSTITUTO CULTURAL DE HIDALGO (INECUH),,"0","13069","13","069",Tizayuca,7674.7585714,-98.976,19.849
"94","95",ELISA ACUÑA ROSSETI,13DPR2958F,"0","13069","13","069",Tizayuca,7674.7585714,-98.988,19.850
"100","101",COLEGIO JUARE,13PPR0133W,"0","13069","13","069",Tizayuca,7674.7585714,-98.984,19.851
"54","55",SOR JUANA INES DE LA CRU,13DPR2926N,"0","13069","13","069",Tizayuca,7674.7585714,-98.985,19.852
"73","74",SOR JUANA INÉS DE LA CRU,13DPR2977U,"0","13069","13","069",Tizayuca,7674.7585714,-98.985,19.852
"30","31",Bernal Día,13DJN1219N,"0","13069","13","069",Tizayuca,7674.7585714,-98.982,19.852
"45","46",Colegio Hogwart´s Seeds,13PJN0315O,"0","13069","13","069",Tizayuca,7674.7585714,-98.982,19.852
"113","114",ELISA ACUÑA ROSSETTI,13DPR0809K,"0","13069","13","069",Tizayuca,7674.7585714,-98.954,19.852
"7","8",Columba Rivera,13DJN1601K,"0","13069","13","069",Tizayuca,7674.7585714,-98.952,19.852
"153","154",EFREN REBOLLEDO,,"0","13069","13","069",Tizayuca,7674.7585714,-98.977,19.853
"124","125",RAÚL GUERRERO GUERRERO,13DES0084S,"0","13069","13","069",Tizayuca,7674.7585714,-98.984,19.853
"32","33",Rodolfo Neri Vela,13DJN1583N,"0","13069","13","069",Tizayuca,7674.7585714,-98.966,19.855
"121","122",JAIME TORRES BODET,13DPR2975W,"0","13069","13","069",Tizayuca,7674.7585714,-98.976,19.855
"40","41",Colegio las Américas,13PJN0444I,"0","13069","13","069",Tizayuca,7674.7585714,-98.96,19.857
"77","78",GRAL. FELIPE ANGELES,13DPR1777P,"0","13069","13","069",Tizayuca,7674.7585714,-98.97,19.858
"33","34",Emiliano,13DJN1370J,"0","13069","13","069",Tizayuca,7674.7585714,-98.995,19.859
"86","87",MIGUEL HIDALGO Y COSTILLA,13DPR0421J,"0","13069","13","069",Tizayuca,7674.7585714,-98.99,19.861
"34","35",Robert Owen,13DJN1597O,"0","13069","13","069",Tizayuca,7674.7585714,-98.991,19.861
"105","106",COLEGIO CEIT,13PPR0341C,"0","13069","13","069",Tizayuca,7674.7585714,-98.962,19.862
"82","83",JOSE VASCONCELOS,13DPR2917F,"0","13069","13","069",Tizayuca,7674.7585714,-98.939,19.862
"64","65",MARIA LUISA ROSS LANDA,13DPR2974X,"0","13069","13","069",Tizayuca,7674.7585714,-98.974,19.863
"99","100",JOHN F. KENNEDY,13PPR0129J,"0","13069","13","069",Tizayuca,7674.7585714,-98.98,19.863
"137","138",Colegio John F. Kennedy,13PES0210D,"0","13069","13","069",Tizayuca,7674.7585714,-98.98,19.863
"37","38",Enrique Pestalo,13DJN1616M,"0","13069","13","069",Tizayuca,7674.7585714,-98.999,19.864
"46","47",CAIC Hèroes de Ti,13OJN0085N,"0","13069","13","069",Tizayuca,7674.7585714,-99.006,19.864
"149","150",UAEH PREPARATORIA CAMPUS TI,,"0","13069","13","069",Tizayuca,7674.7585714,-98.971,19.865
"156","157",Escuela Superior de Ti,13USU0005X,"0","13069","13","069",Tizayuca,7674.7585714,-98.971,19.865
"52","53",Estancia infantil TOLLAN / EL MIO CID,,"0","13069","13","069",Tizayuca,7674.7585714,-98.934,19.866
"39","40",Lev Vygotsky,13DJN0878Q,"0","13069","13","069",Tizayuca,7674.7585714,-98.975,19.866
"144","145",COBAEH Plantel El Cid,13ECB0049N,"0","13069","13","069",Tizayuca,7674.7585714,-98.926,19.866
"62","63",NIÑOS HEROES,13DPR2957G,"0","13069","13","069",Tizayuca,7674.7585714,-98.996,19.866
